type,detail
Nom,Poulet Massalé
Ingredients,4 cuisses de poulet
Ingredients,4 grosses tomates
Ingredients,4 oignons
Ingredients,8 gousses d'ail
Ingredients,poivre
Ingredients,sel
Ingredients,clous de girofle
Ingredients,thym
Ingredients,2 cuillères à café de curcuma
Preparation,5 cuillères à café de massalé
Preparation,Faire revenir le poulet (environ 10 min dans l'huile d'olive).
Preparation,"Rajouter le thym, les clous de girofle, l'ail, le poivre et les oignons."
Preparation,Laisser cuir 5 min.
Preparation,Ajouter les tomates et le curcuma.
Preparation,Laisser cuire 5 min
Preparation,Faire mijoter 30 min
Preparation,Rajouter le massalé
Preparation,Laisser cuire 5 min
